Company,Exchange,Symbol,Weight,MarketCap
3M,NYSE,MMM,0.02881,66.361294848
American Express,NYSE,AXP,0.03561,111.698731008
Amgen,NASDAQ,AMGN,0.04882,130.553790464
Apple,NASDAQ,AAPL,0.03151,2379.74847488
Boeing,NYSE,BA,0.03401,77.58790656
Caterpillar,NYSE,CAT,0.04192,97.034125312
Chevron,NYSE,CVX,0.03051,302.955757568
Cisco,NASDAQ,CSCO,0.01,175.621275648
Coca-Cola,NYSE,KO,0.01281,244.738326528
Disney,NYSE,DIS,0.02321,183.154688
Dow,NYSE,DOW,0.01321,34.32178688
Goldman Sachs,NYSE,GS,0.06222,104.399904768
Home Depot,NYSE,HD,0.05902,300.991741952
Honeywell,NASDAQ,HON,0.03711,122.140000256
IBM,NYSE,IBM,0.02691,111.977259008
Intel,NASDAQ,INTC,0.0091,112.188194816
Johnson & Johnson,NYSE,JNJ,0.03601,433.957797888
JPMorgan Chase,NYSE,JPM,0.02451,339.59804928
McDonald's,NYSE,MCD,0.04892,177.732222976
Merck,NYSE,MRK,0.01651,222.383751168
Microsoft,NASDAQ,MSFT,0.05432,1862.804832256
Nike,NYSE,NKE,0.02481,140.364480512
Procter & Gamble,NYSE,PG,0.03151,313.928024064
Salesforce,NYSE,CRM,0.03381,153.699385344
Travelers,NYSE,TRV,0.03381,39.533645824
UnitedHealth,NYSE,UNH,0.10144,489.844277248
Verizon,NYSE,VZ,0.0097,165.706563584
Visa,NYSE,V,0.04062,389.83
Walgreens Boots Alliance,NASDAQ,WBA,0.0088,28.676
Walmart,NYSE,WMT,0.03041,364.142
