Year,Quarter,GDP,CPI,UNRATE,LFPART,GDPPOT,NROU
1948,1,2086.0,23.6,3.7,58.7,,
1948,2,2120.4,24.0,3.7,58.8,,
1948,3,2132.6,24.4,3.8,59.0,,
1948,4,2135.0,24.2,3.8,58.8,,
1949,1,2105.6,23.9,4.7,58.9,2103.6,5.3
1949,2,2098.4,23.9,5.9,58.8,2131.6,5.3
1949,3,2120.0,23.7,6.7,59.1,2160.8,5.3
1949,4,2102.3,23.7,7.0,59.4,2188.7,5.3
1950,1,2184.9,23.6,6.4,58.9,2218.3,5.3
1950,2,2251.5,23.8,5.6,59.2,2248.2,5.3
1950,3,2338.5,24.2,4.6,59.3,2278.2,5.3
1950,4,2383.3,24.7,4.2,59.3,2309.6,5.3
1951,1,2415.7,25.7,3.5,59.3,2341.4,5.3
1951,2,2457.5,25.9,3.1,59.2,2373.2,5.3
1951,3,2508.2,25.9,3.2,59.2,2406.3,5.3
1951,4,2513.7,26.3,3.4,59.4,2440.7,5.3
1952,1,2540.6,26.4,3.1,59.3,2475.4,5.3
1952,2,2546.0,26.5,3.0,59.0,2511.4,5.3
1952,3,2564.4,26.7,3.2,58.9,2544.7,5.3
1952,4,2648.6,26.7,2.8,59.0,2575.9,5.4
1953,1,2697.9,26.6,2.7,59.5,2604.0,5.4
1953,2,2718.7,26.7,2.6,58.9,2630.3,5.4
1953,3,2703.4,26.8,2.7,58.7,2653.8,5.4
1953,4,2662.5,26.9,3.7,58.5,2674.8,5.4
1954,1,2649.8,27.0,5.3,59.0,2694.5,5.4
1954,2,2652.6,26.9,5.8,58.9,2712.3,5.4
1954,3,2682.6,26.8,6.0,58.8,2729.1,5.4
1954,4,2735.1,26.8,5.3,58.5,2746.3,5.4
1955,1,2813.2,26.8,4.7,58.5,2763.0,5.4
1955,2,2859.0,26.8,4.4,58.9,2780.8,5.4
1955,3,2897.6,26.8,4.1,59.6,2798.3,5.4
1955,4,2915.0,26.9,4.2,60.0,2816.5,5.4
1956,1,2903.7,26.9,4.0,60.0,2835.0,5.4
1956,2,2927.7,27.0,4.2,60.1,2853.3,5.4
1956,3,2925.0,27.3,4.1,60.0,2872.5,5.4
1956,4,2973.2,27.6,4.1,59.8,2892.5,5.4
1957,1,2992.2,27.8,3.9,59.7,2914.1,5.4
1957,2,2985.7,28.0,4.1,59.6,2936.9,5.4
1957,3,3014.9,28.3,4.2,59.6,2960.6,5.4
1957,4,2983.7,28.4,4.9,59.5,2985.3,5.4
1958,1,2906.3,28.7,6.3,59.3,3010.2,5.4
1958,2,2925.4,28.9,7.4,59.6,3035.9,5.4
1958,3,2993.1,28.9,7.3,59.7,3062.0,5.4
1958,4,3063.1,28.9,6.4,59.3,3089.4,5.4
1959,1,3121.9,29.0,5.8,59.2,3117.3,5.4
1959,2,3192.4,29.0,5.1,59.3,3146.1,5.4
1959,3,3194.7,29.2,5.3,59.3,3176.8,5.4
1959,4,3203.8,29.4,5.6,59.3,3208.1,5.5
1960,1,3275.8,29.4,5.1,58.9,3240.6,5.5
1960,2,3258.1,29.6,5.2,59.6,3273.0,5.5
1960,3,3274.0,29.6,5.5,59.6,3306.0,5.5
1960,4,3232.0,29.8,6.3,59.6,3338.8,5.5
1961,1,3253.8,29.8,6.8,59.6,3372.3,5.5
1961,2,3309.1,29.8,7.0,59.5,3405.2,5.5
1961,3,3372.6,29.9,6.8,59.2,3439.6,5.5
1961,4,3438.7,30.0,6.2,59.0,3474.2,5.5
1962,1,3500.1,30.1,5.6,58.9,3510.0,5.5
1962,2,3531.7,30.2,5.5,58.8,3546.7,5.5
1962,3,3575.1,30.3,5.6,58.8,3584.4,5.5
1962,4,3586.8,30.4,5.5,58.5,3622.7,5.5
1963,1,3626.0,30.5,5.8,58.6,3661.6,5.6
1963,2,3666.7,30.5,5.7,58.7,3701.3,5.6
1963,3,3747.3,30.7,5.5,58.6,3741.8,5.6
1963,4,3771.8,30.8,5.6,58.7,3783.0,5.6
1964,1,3851.4,30.9,5.5,58.7,3824.4,5.6
1964,2,3893.3,31.0,5.2,59.0,3866.7,5.6
1964,3,3954.1,31.0,5.0,58.6,3909.5,5.6
1964,4,3966.3,31.2,5.0,58.6,3952.5,5.6
1965,1,4062.3,31.3,4.9,58.7,3996.8,5.6
1965,2,4113.6,31.5,4.7,58.9,4040.4,5.7
1965,3,4205.1,31.6,4.4,58.9,4085.6,5.7
1965,4,4302.0,31.8,4.1,58.9,4131.5,5.7
1966,1,4406.7,32.0,3.9,58.9,4178.0,5.7
1966,2,4421.7,32.3,3.8,59.0,4225.3,5.7
1966,3,4459.2,32.6,3.8,59.2,4273.2,5.7
1966,4,4495.8,32.9,3.7,59.5,4321.1,5.7
1967,1,4535.6,33.0,3.8,59.3,4369.8,5.7
1967,2,4538.4,33.2,3.8,59.4,4418.8,5.8
1967,3,4581.3,33.5,3.8,59.7,4468.2,5.8
1967,4,4615.9,33.9,3.9,59.9,4518.8,5.8
1968,1,4710.0,34.2,3.7,59.5,4570.0,5.8
1968,2,4788.7,34.5,3.6,59.8,4621.4,5.8
1968,3,4825.8,35.0,3.5,59.6,4674.0,5.8
1968,4,4844.8,35.4,3.4,59.6,4727.4,5.8
1969,1,4920.6,35.9,3.4,59.8,4778.9,5.8
1969,2,4935.6,36.4,3.4,60.0,4827.8,5.9
1969,3,4968.2,36.9,3.6,60.2,4874.0,5.9
1969,4,4943.9,37.5,3.6,60.3,4918.0,5.9
1970,1,4936.6,38.1,4.2,60.5,4960.0,5.9
1970,2,4943.6,38.6,4.8,60.4,4999.8,5.9
1970,3,4989.2,39.0,5.2,60.3,5038.1,5.9
1970,4,4935.7,39.6,5.8,60.4,5075.2,5.9
1971,1,5069.7,39.9,5.9,60.2,5112.2,5.9
1971,2,5097.2,40.3,5.9,60.0,5149.9,6.0
1971,3,5139.1,40.7,6.0,60.1,5188.1,6.0
1971,4,5151.2,41.0,5.9,60.3,5227.0,6.0
1972,1,5246.0,41.3,5.8,60.3,5266.6,6.0
1972,2,5365.0,41.6,5.7,60.4,5306.7,6.0
1972,3,5415.7,41.9,5.6,60.5,5347.4,6.0
1972,4,5506.4,42.4,5.4,60.4,5388.7,6.1
1973,1,5642.7,43.0,4.9,60.4,5431.5,6.1
1973,2,5704.1,43.9,4.9,60.8,5476.9,6.1
1973,3,5674.1,44.8,4.8,60.8,5523.2,6.1
1973,4,5728.0,45.9,4.8,61.1,5571.0,6.1
1974,1,5678.7,47.3,5.1,61.3,5619.7,6.1
1974,2,5692.2,48.6,5.2,61.2,5669.1,6.1
1974,3,5638.4,49.9,5.6,61.3,5718.1,6.2
1974,4,5616.5,51.5,6.6,61.3,5766.6,6.2
1975,1,5548.2,52.6,8.3,61.2,5814.0,6.2
1975,2,5587.8,53.2,8.9,61.3,5860.5,6.2
1975,3,5683.4,54.3,8.5,61.3,5906.6,6.2
1975,4,5760.0,55.3,8.3,61.1,5952.7,6.2
1976,1,5889.5,55.9,7.7,61.3,5998.7,6.2
1976,2,5932.7,56.4,7.6,61.5,6045.6,6.2
1976,3,5965.3,57.3,7.7,61.7,6093.8,6.2
1976,4,6008.5,58.1,7.8,61.8,6142.8,6.2
1977,1,6079.5,59.2,7.5,61.8,6193.4,6.2
1977,2,6197.7,60.2,7.1,62.2,6245.2,6.2
1977,3,6309.5,61.1,6.9,62.2,6297.7,6.2
1977,4,6309.7,62.0,6.7,62.6,6351.7,6.2
1978,1,6329.8,63.0,6.3,62.8,6407.0,6.2
1978,2,6574.4,64.5,6.0,63.1,6463.4,6.2
1978,3,6640.5,66.0,6.0,63.2,6521.2,6.2
1978,4,6729.8,67.5,5.9,63.5,6580.1,6.2
1979,1,6741.9,69.2,5.9,63.7,6640.6,6.2
1979,2,6749.1,71.4,5.7,63.4,6697.9,6.2
1979,3,6799.2,73.7,5.9,63.7,6750.5,6.2
1979,4,6816.2,76.0,6.0,63.8,6798.0,6.2
1980,1,6837.6,79.0,6.3,63.9,6839.7,6.2
1980,2,6696.8,81.7,7.3,63.8,6874.8,6.2
1980,3,6688.8,83.2,7.7,63.7,6903.2,6.2
1980,4,6813.5,85.6,7.4,63.7,6934.7,6.2
1981,1,6947.0,87.9,7.4,64.0,6971.9,6.2
1981,2,6895.6,89.8,7.4,64.1,7013.8,6.2
1981,3,6978.1,92.3,7.4,63.7,7059.8,6.2
1981,4,6902.1,93.8,8.2,63.8,7109.7,6.2
1982,1,6794.9,94.6,8.8,63.8,7163.0,6.2
1982,2,6825.9,96.0,9.4,64.0,7218.8,6.1
1982,3,6799.8,97.6,9.9,64.1,7276.9,6.1
1982,4,6802.5,97.9,10.7,64.1,7337.0,6.1
1983,1,6892.1,98.0,10.4,63.8,7397.1,6.1
1983,2,7049.0,99.1,10.1,63.9,7458.6,6.1
1983,3,7189.9,100.1,9.4,64.2,7521.8,6.1
1983,4,7339.9,101.1,8.5,64.1,7587.4,6.1
1984,1,7483.4,102.5,7.9,64.0,7655.5,6.1
1984,2,7612.7,103.5,7.4,64.5,7725.9,6.1
1984,3,7686.1,104.4,7.4,64.5,7798.0,6.1
1984,4,7749.2,105.3,7.3,64.5,7871.4,6.0
1985,1,7824.2,106.3,7.2,64.8,7945.2,6.0
1985,2,7893.1,107.2,7.3,64.8,8019.5,6.0
1985,3,8013.7,107.9,7.2,64.7,8093.9,6.0
1985,4,8073.2,109.0,7.0,65.0,8167.9,6.0
1986,1,8148.6,109.6,7.0,65.0,8241.3,6.0
1986,2,8185.3,109.0,7.2,65.2,8314.4,6.0
1986,3,8263.6,109.7,7.0,65.4,8387.5,6.0
1986,4,8308.0,110.5,6.8,65.4,8460.4,6.0
1987,1,8369.9,111.8,6.6,65.5,8532.9,5.9
1987,2,8460.2,113.1,6.3,65.5,8604.9,5.9
1987,3,8533.6,114.3,6.0,65.6,8676.5,5.9
1987,4,8680.2,115.3,5.8,65.7,8748.1,5.9
1988,1,8725.0,116.2,5.7,65.8,8819.1,5.9
1988,2,8839.6,117.6,5.5,65.8,8890.2,5.9
1988,3,8891.4,119.0,5.5,66.0,8960.9,5.8
1988,4,9009.9,120.3,5.3,66.1,9031.6,5.8
1989,1,9101.5,121.7,5.2,66.4,9102.1,5.8
1989,2,9171.0,123.6,5.2,66.4,9172.4,5.8
1989,3,9238.9,124.6,5.2,66.5,9242.4,5.8
1989,4,9257.1,125.9,5.4,66.5,9311.6,5.8
1990,1,9358.3,128.0,5.3,66.7,9379.0,5.7
1990,2,9392.3,129.3,5.3,66.5,9444.9,5.7
1990,3,9398.5,131.5,5.7,66.5,9508.8,5.7
1990,4,9312.9,133.8,6.1,66.4,9570.6,5.7
1991,1,9269.4,134.8,6.6,66.2,9630.8,5.7
1991,2,9341.6,135.6,6.8,66.3,9689.3,5.6
1991,3,9388.8,136.6,6.9,66.1,9747.0,5.6
1991,4,9421.6,137.7,7.1,66.1,9804.6,5.6
1992,1,9534.3,138.7,7.4,66.3,9862.4,5.6
1992,2,9637.7,139.7,7.6,66.6,9921.1,5.6
1992,3,9733.0,140.8,7.6,66.6,9981.2,5.6
1992,4,9834.5,142.0,7.4,66.3,10042.2,5.5
1993,1,9851.0,143.1,7.1,66.2,10104.3,5.5
1993,2,9908.3,144.1,7.1,66.3,10167.9,5.5
1993,3,9955.6,144.8,6.8,66.3,10232.3,5.5
1993,4,10091.0,146.0,6.6,66.3,10297.7,5.5
1994,1,10189.0,146.7,6.6,66.6,10363.7,5.5
1994,2,10327.0,147.5,6.2,66.5,10430.1,5.5
1994,3,10387.4,148.9,6.0,66.5,10497.7,5.4
1994,4,10506.4,149.8,5.6,66.7,10566.2,5.4
1995,1,10543.6,150.9,5.5,66.8,10635.1,5.4
1995,2,10575.1,152.1,5.7,66.6,10704.9,5.4
1995,3,10665.1,152.9,5.7,66.6,10775.4,5.4
1995,4,10737.5,153.7,5.6,66.5,10847.6,5.4
1996,1,10817.9,155.1,5.5,66.5,10921.0,5.4
1996,2,10998.3,156.4,5.5,66.7,10999.7,5.4
1996,3,11097.0,157.3,5.3,66.8,11084.9,5.4
1996,4,11212.2,158.7,5.3,67.0,11176.0,5.4
1997,1,11284.6,159.6,5.2,67.0,11273.0,5.3
1997,2,11472.1,160.0,5.0,67.1,11375.0,5.3
1997,3,11615.6,160.8,4.9,67.2,11482.5,5.3
1997,4,11715.4,161.7,4.7,67.2,11594.2,5.3
1998,1,11832.5,162.0,4.6,67.1,11709.6,5.3
1998,2,11942.0,162.5,4.4,67.0,11828.7,5.3
1998,3,12091.6,163.4,4.5,67.1,11950.2,5.3
1998,4,12287.0,164.1,4.4,67.2,12074.0,5.3
1999,1,12403.3,164.7,4.3,67.1,12200.4,5.3
1999,2,12498.7,166.0,4.3,67.1,12328.4,5.3
1999,3,12662.4,167.2,4.2,67.0,12458.5,5.2
1999,4,12877.6,168.4,4.1,67.1,12590.9,5.2
2000,1,12924.2,170.1,4.0,67.3,12725.0,5.2
2000,2,13160.8,171.4,3.9,67.2,12857.0,5.2
2000,3,13178.4,173.0,4.0,66.9,12985.1,5.2
2000,4,13260.5,174.2,3.9,66.9,13108.3,5.2
2001,1,13222.7,175.9,4.2,67.2,13227.0,5.2
2001,2,13300.0,177.1,4.4,66.8,13340.3,5.2
2001,3,13244.8,177.6,4.8,66.7,13448.4,5.2
2001,4,13280.9,177.5,5.5,66.7,13551.3,5.2
2002,1,13397.0,178.1,5.7,66.6,13649.8,5.1
2002,2,13478.2,179.5,5.8,66.7,13745.2,5.1
2002,3,13538.1,180.4,5.7,66.6,13838.7,5.1
2002,4,13559.0,181.5,5.9,66.4,13931.2,5.1
2003,1,13634.3,183.4,5.9,66.4,14023.2,5.1
2003,2,13751.5,183.1,6.1,66.4,14116.2,5.1
2003,3,13985.1,184.4,6.1,66.1,14209.6,5.1
2003,4,14145.6,185.1,5.8,66.0,14304.5,5.1
2004,1,14221.1,186.7,5.7,66.0,14401.4,5.1
2004,2,14329.5,188.2,5.6,66.0,14500.3,5.0
2004,3,14465.0,189.4,5.4,66.0,14601.5,5.0
2004,4,14609.9,191.4,5.4,65.9,14704.3,5.0
2005,1,14771.6,192.4,5.3,65.9,14805.1,5.0
2005,2,14839.8,193.7,5.1,66.1,14902.8,5.0
2005,3,14972.1,196.6,5.0,66.1,14998.3,5.0
2005,4,15066.6,198.4,5.0,66.0,15091.0,5.0
2006,1,15267.0,199.5,4.7,66.1,15180.8,5.0
2006,2,15302.7,201.3,4.6,66.1,15267.9,5.0
2006,3,15326.4,203.2,4.6,66.1,15350.5,5.0
2006,4,15456.9,202.3,4.4,66.3,15428.1,4.9
2007,1,15493.3,204.3,4.5,66.3,15502.8,4.9
2007,2,15582.1,206.6,4.5,66.0,15577.8,4.9
2007,3,15666.7,207.9,4.7,65.9,15652.9,4.9
2007,4,15762.0,210.5,4.8,65.9,15727.0,4.9
2008,1,15671.4,212.8,5.0,66.1,15799.8,4.9
2008,2,15752.3,215.5,5.3,66.0,15869.5,4.9
2008,3,15667.0,218.9,6.0,66.1,15935.0,4.9
2008,4,15328.0,213.8,6.9,65.9,15995.8,4.9
2009,1,15155.9,212.4,8.3,65.7,16050.9,4.8
2009,2,15134.1,213.5,9.3,65.7,16101.8,4.8
2009,3,15189.2,215.3,9.6,65.3,16149.4,4.8
2009,4,15356.1,217.0,9.9,64.9,16195.6,4.8
2010,1,15415.1,217.4,9.8,64.9,16241.9,4.8
2010,2,15557.3,217.3,9.6,64.9,16289.8,4.8
2010,3,15672.0,217.9,9.5,64.6,16340.1,4.8
2010,4,15750.6,219.7,9.5,64.4,16392.4,4.8
2011,1,15712.8,222.0,9.0,64.2,16447.1,4.8
2011,2,15825.1,224.6,9.1,64.1,16503.9,4.8
2011,3,15820.7,226.0,9.0,64.1,16563.0,4.8
2011,4,16004.1,227.0,8.6,64.1,16623.7,4.7
2012,1,16129.4,228.3,8.3,63.8,16686.0,4.7
2012,2,16198.8,228.8,8.2,63.7,16750.3,4.7
2012,3,16220.7,229.8,8.0,63.6,16816.1,4.7
2012,4,16239.1,231.4,7.8,63.7,16883.2,4.7
2013,1,16383.0,232.3,7.7,63.5,16951.5,4.7
2013,2,16403.2,232.0,7.5,63.4,17021.3,4.7
2013,3,16531.7,233.3,7.2,63.3,17091.8,4.7
2013,4,16663.6,234.2,6.9,62.9,17163.4,4.7
2014,1,16616.5,235.6,6.7,63.0,17236.1,4.6
2014,2,16841.5,236.9,6.2,62.8,17309.7,4.6
2014,3,17047.1,237.5,6.1,62.9,17384.6,4.6
2014,4,17143.0,236.9,5.7,62.9,17460.2,4.6
2015,1,17305.8,235.4,5.5,62.7,17535.8,4.6
2015,2,17422.8,237.0,5.4,62.8,17611.7,4.6
