Year,Month,NHSTART,MORTGAGE30,CSHPRICE,HSN1F,ASPNHS,CPI,HSUPPLY
1975,1,1032.0,9.4,,416.0,39500.0,52.3,9.9
1975,2,904.0,9.1,,422.0,40600.0,52.6,10.4
1975,3,993.0,8.9,,477.0,42100.0,52.8,8.9
1975,4,1005.0,8.8,,543.0,42000.0,53.0,7.2
1975,5,1121.0,8.9,,579.0,43200.0,53.1,6.8
1975,6,1087.0,8.9,,557.0,42500.0,53.5,7.2
1975,7,1226.0,8.9,,569.0,42300.0,54.0,7.0
1975,8,1260.0,8.9,,566.0,41200.0,54.2,6.8
1975,9,1264.0,9.1,,556.0,43400.0,54.6,7.3
1975,10,1344.0,9.2,,609.0,43900.0,54.9,6.6
1975,11,1360.0,9.1,,680.0,43700.0,55.3,5.8
1975,12,1321.0,9.1,,669.0,45900.0,55.6,5.8
1976,1,1367.0,9.0,,603.0,45300.0,55.8,6.4
1976,2,1538.0,8.8,,644.0,45900.0,55.9,5.9
1976,3,1421.0,8.8,,591.0,46800.0,56.0,6.8
1976,4,1395.0,8.7,,611.0,46800.0,56.1,6.4
1976,5,1459.0,8.8,,570.0,47500.0,56.4,7.0
1976,6,1495.0,8.8,,591.0,49200.0,56.7,6.9
1976,7,1401.0,8.9,,664.0,48000.0,57.0,6.4
1976,8,1550.0,9.0,,648.0,48500.0,57.3,6.2
1976,9,1720.0,9.0,,696.0,48200.0,57.6,6.2
1976,10,1629.0,8.9,,708.0,50400.0,57.9,5.8
1976,11,1641.0,8.8,,735.0,50000.0,58.1,6.0
1976,12,1804.0,8.8,,767.0,50600.0,58.4,5.6
1977,1,1527.0,8.7,,825.0,50700.0,58.7,5.3
1977,2,1943.0,8.7,,839.0,52600.0,59.3,5.1
1977,3,2063.0,8.7,,872.0,51600.0,59.6,5.0
1977,4,1892.0,8.8,,799.0,54600.0,60.0,5.5
1977,5,1971.0,8.8,,807.0,54400.0,60.2,5.4
1977,6,1893.0,8.9,,805.0,53900.0,60.5,5.5
1977,7,2058.0,8.9,,755.0,53600.0,60.8,6.1
1977,8,2020.0,8.9,,808.0,54300.0,61.1,5.8
1977,9,1949.0,8.9,,842.0,53900.0,61.3,5.9
1977,10,2042.0,8.9,,819.0,57200.0,61.6,6.1
1977,11,2042.0,8.9,,829.0,57800.0,62.0,6.0
1977,12,2142.0,9.0,,835.0,57600.0,62.3,6.0
1978,1,1718.0,9.0,,795.0,58500.0,62.7,5.9
1978,2,1738.0,9.1,,791.0,59100.0,63.0,6.3
1978,3,2032.0,9.2,,814.0,59900.0,63.4,6.1
1978,4,2197.0,9.4,,864.0,59300.0,63.9,5.8
1978,5,2075.0,9.6,,857.0,62300.0,64.5,5.9
1978,6,2070.0,9.7,,834.0,63200.0,65.0,6.2
1978,7,2092.0,9.7,,789.0,62900.0,65.5,6.6
1978,8,1996.0,9.8,,756.0,63000.0,65.9,6.6
1978,9,1970.0,9.8,,812.0,64400.0,66.5,5.9
1978,10,1981.0,9.9,,872.0,65700.0,67.1,5.7
1978,11,2094.0,10.1,,798.0,66300.0,67.5,6.5
1978,12,2044.0,10.3,,805.0,67400.0,67.9,6.1
1979,1,1630.0,10.4,,754.0,67700.0,68.5,6.6
1979,2,1520.0,10.4,,723.0,68700.0,69.2,6.8
1979,3,1847.0,10.4,,793.0,68500.0,69.9,6.6
