"SalePrice","LotArea","Neighborhood","BuildingType","OverallQuality","OverallCondition","YearBuilt","CentralAir","LivingArea","Bathrooms","Bedrooms","Fireplaces","HasGarage"
208500.0,784.9540746129967,"CollgCr","Single-family",7,5,2003,"Y",158.84869438913896,2,3,0,1
181500.0,891.7821439390258,"Veenker","Single-family",6,8,1976,"Y",117.2321943386511,2,3,1,1
223500.0,1045.0571999285457,"CollgCr","Single-family",7,5,2001,"Y",165.90863636198958,2,3,1,1
140000.0,887.1374452726767,"Crawfor","Single-family",7,5,1915,"Y",159.49895220242783,1,3,1,1
250000.0,1324.6680596427611,"NoRidge","Single-family",8,5,2000,"Y",204.1809533727061,2,4,1,1
143000.0,1311.1984335103489,"Mitchel","Single-family",5,5,1993,"Y",126.52159167134928,1,1,0,1
307000.0,936.742827029285,"Somerst","Single-family",8,5,2004,"Y",157.36239081590725,2,3,1,1
200000.0,964.4252310807256,"NWAmes","Single-family",7,6,1973,"Y",194.14840425339207,2,3,2,1
129900.0,568.511116761129,"OldTown","Single-family",7,5,1931,"Y",164.7939086820658,2,2,2,1
118000.0,689.2732820862053,"BrkSide","",5,6,1939,"Y",100.04680927315945,1,2,2,1
129500.0,1040.4125012621967,"Sawyer","Single-family",5,5,1965,"Y",96.60973226006112,1,3,0,1
345000.0,1107.6677379509315,"NridgHt","Single-family",9,5,2005,"Y",215.88559401190582,3,4,2,1
144000.0,1204.6490461043006,"Sawyer","Single-family",5,6,1962,"Y",84.71930367420745,1,2,0,1
279500.0,989.5066038790106,"CollgCr","Single-family",7,5,2006,"Y",138.78359615051087,2,3,1,1
157000.0,1014.4021887306418,"NAmes","Single-family",6,5,1960,"Y",116.39614857870826,1,2,1,1
132000.0,568.511116761129,"BrkSide","Single-family",7,8,1929,"Y",79.3314532212425,1,2,0,1
149000.0,1044.2211541686029,"NAmes","Single-family",6,7,1970,"Y",93.26554922028978,1,2,1,1
90000.0,1002.4188661714611,"Sawyer","Two-family",4,5,1967,"Y",120.39058943176848,2,2,0,1
159000.0,1272.1829647130164,"SawyerW","Single-family",5,5,2004,"Y",103.48388628625779,1,3,0,1
139000.0,702.2784383519828,"NAmes","Single-family",5,6,1958,"Y",124.3850302848287,1,3,0,1
325300.0,1320.487830843047,"NridgHt","Single-family",8,5,2005,"Y",220.71608062490887,3,4,1,1
139400.0,691.9672073126878,"IDOTRR","Single-family",7,7,1930,"Y",102.92652244629589,1,3,1,1
230000.0,904.9730881514572,"CollgCr","Single-family",8,5,2002,"Y",166.7446821219324,2,3,1,1
129900.0,392.3841433331713,"MeadowV","Townhouse",5,7,1976,"Y",98.46761172660077,1,3,1,1
154000.0,766.0037040542924,"Sawyer","Single-family",5,8,1968,"Y",98.46761172660077,1,3,1,1
256300.0,1321.8812404429518,"NridgHt","Single-family",8,5,2007,"Y",148.63035732317095,2,3,1,1
134800.0,668.8366079542693,"NAmes","Single-family",5,7,1951,"Y",83.60457599428366,1,3,0,1
306000.0,1066.2370258470976,"NridgHt","Single-family",8,5,2007,"Y",158.29133054917708,2,3,1,1
207500.0,1516.1225386696708,"NAmes","Single-family",5,6,1957,"Y",148.63035732317095,1,2,2,1
68500.0,587.4614873198333,"BrkSide","Single-family",4,6,1927,"N",48.30486613003056,1,1,0,1
40000.0,789.5987732793458,"IDOTRR","Single-family",4,4,1920,"N",122.3413628716351,1,3,0,1
149350.0,793.686108105733,"Sawyer","Single-family",5,6,1966,"Y",114.0737992455337,1,3,0,1
179900.0,1026.3855112898225,"CollgCr","Single-family",8,5,2007,"Y",114.6311630854956,2,3,0,1
165500.0,980.2172065463125,"NAmes","Single-family",5,5,1959,"Y",157.91975465586916,1,4,1,1
277500.0,679.3336269402183,"NridgHt","Townhouse",9,5,2005,"Y",145.00749236341866,2,2,1,1
