Date,^DJI,^GSPC,^IXIC
2023-01-03,33136.37,3824.14,10386.98
2023-01-04,33269.77,3852.97,10458.76
2023-01-05,32930.08,3808.10,10305.24
2023-01-06,33630.61,3895.08,10569.29
2023-01-09,33517.65,3892.09,10635.65
2023-01-10,33704.10,3919.25,10742.63
2023-01-11,33973.01,3969.61,10931.67
2023-01-12,34189.97,3983.17,11001.10
2023-01-13,34302.61,3999.09,11079.16
2023-01-17,33910.85,3990.97,11095.11
2023-01-18,33296.96,3928.86,10957.01
2023-01-19,33044.56,3898.85,10852.27
2023-01-20,33375.49,3972.61,11140.43
2023-01-23,33629.56,4019.81,11364.41
2023-01-24,33733.96,4016.95,11334.27
2023-01-25,33743.84,4016.22,11313.36
2023-01-26,33949.41,4060.43,11512.41
2023-01-27,33978.08,4070.56,11621.71
2023-01-30,33717.09,4017.77,11393.81
2023-01-31,34086.04,4076.60,11584.55
2023-02-01,34092.96,4119.21,11816.32
2023-02-02,34053.94,4179.76,12200.82
2023-02-03,33926.01,4136.48,12006.95
2023-02-06,33891.02,4111.08,11887.45
2023-02-07,34156.69,4164.00,12113.79
2023-02-08,33949.01,4117.86,11910.52
2023-02-09,33699.88,4081.50,11789.58
2023-02-10,33869.27,4090.46,11718.12
2023-02-13,34245.93,4137.29,11891.79
2023-02-14,34089.27,4136.13,11960.15
2023-02-15,34128.05,4147.60,12070.59
2023-02-16,33696.85,4090.41,11855.83
2023-02-17,33826.69,4079.09,11787.27
2023-02-21,33129.59,3997.34,11492.30
2023-02-22,33045.09,3991.05,11507.07
2023-02-23,33153.91,4012.32,11590.40
2023-02-24,32816.92,3970.04,11394.94
2023-02-27,32889.09,3982.24,11466.98
2023-02-28,32656.70,3970.15,11455.54
2023-03-01,32661.84,3951.39,11379.48
2023-03-02,33003.57,3981.35,11462.98
2023-03-03,33390.97,4045.64,11689.01
2023-03-06,33431.44,4048.42,11675.74
2023-03-07,32856.46,3986.37,11530.33
2023-03-08,32798.40,3992.01,11576.00
2023-03-09,32254.86,3918.32,11338.35
2023-03-10,31909.64,3861.59,11138.89
2023-03-13,31819.14,3855.76,11188.84
2023-03-14,32155.40,3919.29,11428.15
2023-03-15,31874.57,3891.93,11434.05
2023-03-16,32246.55,3960.28,11717.28
2023-03-17,31861.98,3916.64,11630.51
2023-03-20,32244.58,3951.57,11675.54
2023-03-21,32560.60,4002.87,11860.11
2023-03-22,32030.11,3936.97,11669.96
2023-03-23,32105.25,3948.72,11787.40
2023-03-24,32237.53,3970.99,11823.96
2023-03-27,32432.08,3977.53,11768.84
2023-03-28,32394.25,3971.27,11716.08
2023-03-29,32717.60,4027.81,11926.24
2023-03-30,32859.03,4050.83,12013.47
2023-03-31,33274.15,4109.31,12221.91
2023-04-03,33601.15,4124.51,12189.45
2023-04-04,33402.38,4100.60,12126.33
2023-04-05,33482.72,4090.38,11996.86
2023-04-06,33485.29,4105.02,12087.96
2023-04-10,33586.52,4109.11,12084.36
2023-04-11,33684.79,4108.94,12031.88
2023-04-12,33646.50,4091.95,11929.34
2023-04-13,34029.69,4146.22,12166.27
2023-04-14,33886.47,4137.64,12123.47
2023-04-17,33987.18,4151.32,12157.72
2023-04-18,33976.63,4154.87,12153.41
2023-04-19,33897.01,4154.52,12157.23
2023-04-20,33786.62,4129.79,12059.56
2023-04-21,33808.96,4133.52,12072.46
2023-04-24,33875.40,4137.04,12037.20
2023-04-25,33530.83,4071.63,11799.16
2023-04-26,33301.87,4055.99,11854.35
2023-04-27,33826.16,4135.35,12142.24
2023-04-28,34098.16,4169.48,12226.58
